Mi-Yen Yeh-->dasfaa:0.710320223238,tkde:0.681235077363,dawak:0.600396583144,vldb:0.592377304885,dmkd:0.556184105837,kais:0.553054002682,dexa:0.51264946879,widm:0.50457100222,cikm:0.499471629538,asunam:0.489100280583,dolap:0.485356711901,tsdm:0.480619412715,icwsm:0.41510104149,kdd:0.414428087377,kdid:0.389655339203,pakdd:0.37794951301,datamine:0.371313744233,tkdd:0.353906031952,cinq:0.338322985229,sdm:0.336661107636,icdm:0.330365229765,www:0.316049577896,adma:0.280582908604,sadm:0.256430829391,dmkdttt:0.256001189814,mlg:0.252862705679,ideal:0.22893527699,pkdd:0.227811166114,ijbidm:0.226067586654,sigkdd:0.222630952946,ida:0.218183710793,dw:0.218104231192,minenet:0.205878689376,cidm:0.196768587875,dmdw:0.19371604672,ausdm:0.190015044981,classification:0.180670296453,ijdmmm:0.171579099291,dmin:0.169761241707,mldm:0.166009720731,casdmkm:0.145984645415,fimi:0.136601872304,iat:0.12935991543,aisadm:0.129254672631,admi:0.129145088433,riao:0.116213762954,dis:0.109155121173,wkdd:0.109018120527,ijdmb:0.104297016732,webmine:0.0988049572421,incdm:0.0968938198331,ijkedm:0.0954567769181,ijict:0.0936848062385,tgis:0.0926235759999,jaif:0.0886984018732,itpro:0.0880302408302,vdmb:0.082384452142,isjgp:0.0741009847889,dq:0.0722170075919,biodatamining:0.0708310726884,icetet:0.0695597249622,edm:0.0600252341135,dmo:0.0579828028095,oir:0.051827908333,csda:0.050874023197,grc:0.0501767635413,inffus:0.0383358166469,jecr:0.0340306335126,ipl:0.0329280416438,jkm:0.0254212918834,trs:0.0252865893256,kelsi:0.024210583652,ijicte:0.0177829842893,ijkm:0.0170692755688
Daniel Keren-->minenet:0.288801085821,ijdmmm:0.258392108519,jaif:0.257855187394,dmin:0.240616033474,kais:0.215335379324,tkdd:0.205274956415,icdm:0.204560111267,sdm:0.203167609753,ideal:0.201247743525,sadm:0.199126722569,icetet:0.194265399541,mldm:0.180676882272,cidm:0.178345003979,pakdd:0.177445850543,kdd:0.176548642674,datamine:0.161274369594,dmkdttt:0.15858792635,adma:0.158537025536,tkde:0.157435134856,dawak:0.149825457014,ida:0.138038746277,vdmb:0.133635450084,incdm:0.12032742776,inffus:0.113248292537,dmkd:0.108154937618,ausdm:0.10627411015,tsdm:0.105103830082,wkdd:0.10139845956,pkdd:0.101041372845,kdid:0.0923132787613,sigkdd:0.0923070291897,dolap:0.0779045667382,widm:0.0771166286939,dasfaa:0.0767798911842,ijdmb:0.0747325239313,casdmkm:0.0725656669473,cinq:0.0725159390286,vldb:0.0712123190383,biodatamining:0.0684783138066,dexa:0.0664823668884,cikm:0.0575428402605,ijbidm:0.0501748859796,riao:0.031604099461,admi:0.0314717067168,classification:0.0309266635665,webmine:0.0260114162478,fimi:0.0242111080886,www:0.0238238870522,dmdw:0.0147007454942,dis:0.0143309820236,isjgp:0.0130721958592,aisadm:0.0130319359229,ijict:0.0126483631073,jecr:0.00706914623707,grc:0.00687322371355,icwsm:0.00640648155896,ipl:0.00627712648615,oir:0.00413221462628,mlg:0.00301941515047,edm:0.00233373041103,itpro:0.0,dw:0.0,csda:0.0,ijkm:0.0,kelsi:0.0,iat:0.0,ijicte:0.0,dq:0.0,tgis:0.0,ijkedm:0.0,jkm:0.0,dmo:0.0,asunam:0.0,trs:0.0
Kate Smith-Miles-->dmkdttt:0.458535418087,dawak:0.271170848215,dmdw:0.258486643254,ijbidm:0.233784460938,dmin:0.206721819238,isjgp:0.188634914011,ausdm:0.168702627714,cidm:0.16487743387,dolap:0.161209204874,ida:0.153327371714,mldm:0.149572711114,icdm:0.122869217644,dmkd:0.122846682749,incdm:0.122305361633,ijdmb:0.119682055212,datamine:0.115958988795,admi:0.115011783176,pakdd:0.11402066073,ijdmmm:0.10103590336,adma:0.094278889987,ideal:0.0920372343209,jaif:0.0897162465408,dexa:0.0883074782288,kais:0.0858579937117,kdd:0.0835083946505,inffus:0.0791237912569,sadm:0.0783555882428,ijict:0.0756487852123,dasfaa:0.0688152637787,sdm:0.0687985801101,aisadm:0.0656004583712,biodatamining:0.0615874332318,sigkdd:0.0599733704941,jecr:0.0561138129121,dmo:0.0560027108954,minenet:0.0547471645592,pkdd:0.0523950626065,tkde:0.0517756934421,vldb:0.0492363258493,tsdm:0.047476875136,webmine:0.0460838066368,cikm:0.0447523644074,kelsi:0.0445200845876,wkdd:0.0441965308162,ijicte:0.0392088906287,dq:0.038430862797,icetet:0.0383951019226,vdmb:0.0365442742623,itpro:0.036152160209,kdid:0.034433371043,widm:0.0299802325466,tkdd:0.0294162640878,www:0.0285322355319,iat:0.0252452274961,edm:0.0251957357932,casdmkm:0.0209692657904,icwsm:0.0198909616844,oir:0.0196903785253,dis:0.01913975572,cinq:0.0178756975966,riao:0.0145858168261,tgis:0.0123719984871,ijkedm:0.012202592561,grc:0.0119720151395,jkm:0.0112604836151,fimi:0.00858011365356,ijkm:0.00661822354151,mlg:0.00363253490695,asunam:0.00257803207192,ipl:0.0,dw:0.0,csda:0.0,classification:0.0,trs:0.0
Yohei Ikawa-->asunam:0.683969642411,www:0.657328742766,icwsm:0.629771104046,cikm:0.492839882135,widm:0.409698102909,iat:0.280523778277,oir:0.263276313177,riao:0.229876691386,aisadm:0.213543378472,kdd:0.201839379493,tkdd:0.151414521074,adma:0.136801781113,kais:0.134623998808,ijbidm:0.133767474924,ijkedm:0.129202280466,webmine:0.115002880631,sigkdd:0.108710020709,icdm:0.102831598842,ausdm:0.0938116381166,admi:0.0932297720956,kelsi:0.0896646544951,mlg:0.0890593975374,dasfaa:0.0877196944772,classification:0.077606963819,dexa:0.0775175459792,edm:0.0731092057831,jecr:0.0580148222543,sdm:0.0574074806577,icetet:0.0553779495954,pakdd:0.0516979530429,dmo:0.0502420449314,wkdd:0.0463120726597,pkdd:0.041715010944,vldb:0.0415381720244,incdm:0.0405263671154,casdmkm:0.0393154523167,ideal:0.0372845352665,minenet:0.0364035153717,tkde:0.0357195182541,itpro:0.0353427347143,tgis:0.0346012395143,datamine:0.0344046297802,fimi:0.0330373901267,dw:0.0323331661996,csda:0.0311765217301,ijict:0.0251744720327,biodatamining:0.0209887120703,vdmb:0.0209444159826,jkm:0.0188716107086,dmkdttt:0.0183656765733,jaif:0.0158787647857,dis:0.0143447037113,dq:0.014026269418,ijdmb:0.012542600909,ijdmmm:0.0117660296443,ijicte:0.0114093715377,cidm:0.0104745960363,trs:0.00986737070512,grc:0.00887178824147,inffus:0.00869116502587,ijkm:0.00798386588259,sadm:0.00420655207295,dmdw:0.0,ipl:0.0,dawak:0.0,mldm:0.0,isjgp:0.0,tsdm:0.0,dmin:0.0,cinq:0.0,dmkd:0.0,dolap:0.0,kdid:0.0,ida:0.0
Shaoping Chen-->classification:0.577821227875,tsdm:0.544552933709,ida:0.441463738266,sadm:0.439199842641,kais:0.417329306725,cidm:0.399196058306,ijbidm:0.391144171673,ijdmmm:0.385723538466,adma:0.38511957419,dmin:0.384661064505,grc:0.375847613228,pakdd:0.369860082791,sdm:0.361696000404,datamine:0.339658836501,ideal:0.331089623825,trs:0.330877327283,dawak:0.317462440687,icdm:0.291669890541,vdmb:0.270991601573,wkdd:0.206502499475,tkde:0.205607229825,mldm:0.19762080568,dmkd:0.184974593699,ijkedm:0.178325398962,tkdd:0.178141359961,widm:0.170085874197,riao:0.156361027486,pkdd:0.150841036533,kdd:0.147423047256,dmo:0.137469977083,dmdw:0.126180265513,incdm:0.118014767677,dis:0.114594774871,biodatamining:0.113577314813,dasfaa:0.109735103677,fimi:0.105242282847,dmkdttt:0.102513036611,ijdmb:0.0899809507183,iat:0.0884140165896,csda:0.087287002002,dexa:0.0865617724853,dolap:0.079445081252,ijict:0.0760615029445,cikm:0.0644062171844,tgis:0.0573122170405,ausdm:0.0561601005009,inffus:0.0518439216848,jaif:0.0465872860237,icetet:0.0436349911624,www:0.0392577397804,casdmkm:0.0306830101991,kelsi:0.0258634138955,minenet:0.0247339783034,dw:0.0227664037653,aisadm:0.0205240748552,sigkdd:0.0184070315897,cinq:0.0142380491255,webmine:0.0135321950045,isjgp:0.0128971386524,oir:0.00926103897444,admi:0.0088363936914,edm:0.00612888532313,kdid:0.00548992120895,asunam:0.00440429625901,ijkm:0.00398530146491,itpro:0.0,ipl:0.0,ijicte:0.0,dq:0.0,vldb:0.0,jkm:0.0,jecr:0.0,icwsm:0.0,mlg:0.0
Xin Lin-->classification:0.432047994768,dmo:0.422412573262,tsdm:0.379153382648,dasfaa:0.3227916927,kais:0.317008346318,sadm:0.307624774154,dawak:0.283564425186,tkde:0.273489793556,ida:0.268794006433,cidm:0.261676558187,ijbidm:0.251062097755,sdm:0.250628773887,ijdmmm:0.249302232119,datamine:0.246407339333,dexa:0.240768432537,pakdd:0.228467319246,adma:0.210056984155,vldb:0.202781244097,dmin:0.202072820077,vdmb:0.201552985487,icdm:0.198621431244,ideal:0.191631568804,widm:0.180569359512,dw:0.176154333067,mldm:0.156695310071,cikm:0.151587394523,dmkd:0.142711099574,ijkedm:0.137282889297,dolap:0.134705804478,tkdd:0.115399403484,dmdw:0.113293769432,dis:0.0929142226411,mlg:0.0907475876435,www:0.084898657413,kdd:0.0844270389591,incdm:0.0803772726468,pkdd:0.0801535890873,grc:0.075505476118,fimi:0.0697934752733,icetet:0.0697288453644,csda:0.0652661625516,biodatamining:0.0600206842855,iat:0.05730981916,riao:0.051393436172,cinq:0.0508438576289,ijdmb:0.0501310334011,trs:0.0428703127486,tgis:0.0428534419532,isjgp:0.0411393552348,aisadm:0.0410707981732,jecr:0.03706826178,ijict:0.0340591451422,ausdm:0.0338437869384,itpro:0.0263957195365,jaif:0.0251747138657,dmkdttt:0.0247465871048,icwsm:0.0242094536497,webmine:0.0239806240796,admi:0.0199857062834,dq:0.0197870445443,casdmkm:0.0158350918338,ipl:0.0129449969287,wkdd:0.00759691202446,inffus:0.00423023497679,kdid:0.00370708649113,kelsi:0.00347795590886,oir:0.00330903280559,asunam:0.00258732364836,sigkdd:0.0,edm:0.0,ijkm:0.0,ijicte:0.0,jkm:0.0,minenet:0.0
Marie-Odile Cordier-->dawak:0.424131689747,dmkdttt:0.416455237948,dasfaa:0.358219204996,dolap:0.326633841147,widm:0.316296809557,dmdw:0.305965429044,ijbidm:0.300691686853,cikm:0.292102587937,webmine:0.282153886552,dmkd:0.27742544898,kais:0.269052034884,icwsm:0.267122866907,vldb:0.263399395846,asunam:0.252489064925,dexa:0.249112624664,www:0.242097949965,pakdd:0.239299332097,ida:0.230063040862,ausdm:0.228507347437,tkde:0.215414732104,dmin:0.214378784674,dw:0.207351960009,mldm:0.203032165059,adma:0.202733594819,cidm:0.199653158504,ijdmb:0.184177053408,icdm:0.181584646746,incdm:0.174408516999,aisadm:0.164555104936,pkdd:0.163636954511,kdd:0.159077747877,riao:0.15848123305,dis:0.14730029545,datamine:0.146309280579,mlg:0.139737639876,cinq:0.129490178484,jkm:0.126572934478,biodatamining:0.118991446981,ideal:0.118348178126,ijkm:0.114651274354,jecr:0.102061057364,jaif:0.102037133598,sdm:0.101354994143,ijdmmm:0.0939564788217,oir:0.0802547295426,dmo:0.0760523973882,sadm:0.073469117081,minenet:0.0708650948923,wkdd:0.0699653674862,kdid:0.0666718201833,iat:0.0640328867397,ijict:0.0613237625207,tsdm:0.0545363676229,tkdd:0.0522575759352,edm:0.0467355784036,casdmkm:0.0407445556435,sigkdd:0.0399861846777,fimi:0.039613895402,vdmb:0.0339392585112,grc:0.030121268331,trs:0.0277169617155,isjgp:0.025375684913,ijkedm:0.0242552961015,kelsi:0.0224402141861,itpro:0.0207172054627,ipl:0.0120576755536,icetet:0.0114465746719,admi:0.0105334660592,ijicte:0.00797901114316,inffus:0.00693353712199,csda:0.0,classification:0.0,dq:0.0,tgis:0.0
Ashfaqur Rahman-->mldm:0.271331909518,ausdm:0.206629771656,aisadm:0.198222673856,ideal:0.177422511385,ijict:0.155330684166,inffus:0.149450267275,icetet:0.137522737508,isjgp:0.136009517552,ida:0.125884927764,incdm:0.108431450386,jecr:0.104015689352,ijdmb:0.103295426927,biodatamining:0.0950705922408,dmin:0.0881880433284,pakdd:0.0860572348262,oir:0.0845639410379,ijbidm:0.0830008017853,cidm:0.0800619659359,dmkdttt:0.0754663071114,dis:0.0750958379696,wkdd:0.074468988017,icdm:0.0738570760656,csda:0.0723423867437,dw:0.071054242375,itpro:0.0705598877775,widm:0.0664510580885,webmine:0.0632614714589,jaif:0.0595258149523,dmkd:0.0579649082475,kelsi:0.0523594088643,kais:0.0484988653891,adma:0.0481577753301,dexa:0.0469531935406,icwsm:0.0458136440231,minenet:0.0443812731434,classification:0.0429577961663,ijdmmm:0.0417451031038,edm:0.0416940039517,kdd:0.0414252367489,pkdd:0.0405181201642,dmo:0.0395342308412,www:0.0383390516595,datamine:0.038246844424,mlg:0.02716247813,dolap:0.0262426538867,riao:0.0250804917011,sadm:0.0235171093894,ijicte:0.0220842733479,dmdw:0.0208480630659,iat:0.020424324567,tsdm:0.0191478554103,jkm:0.0162848232538,cikm:0.0161579346464,sigkdd:0.0109661306822,casdmkm:0.0103627772386,tkdd:0.00771836578811,sdm:0.00653343156207,cinq:0.00437162854092,ipl:0.0,dawak:0.0,vdmb:0.0,ijkm:0.0,tkde:0.0,dasfaa:0.0,dq:0.0,tgis:0.0,ijkedm:0.0,admi:0.0,vldb:0.0,fimi:0.0,grc:0.0,kdid:0.0,asunam:0.0,trs:0.0
Yukiko Kawai-->www:0.619513873814,cikm:0.54434788949,widm:0.476722474063,riao:0.328738011262,webmine:0.299216286992,oir:0.294796386589,admi:0.142893828058,kais:0.138423142778,kdd:0.13043615984,ijkedm:0.121943155729,ijbidm:0.119841373464,dmo:0.115705508651,icetet:0.115035766102,vdmb:0.104776914191,adma:0.101243210608,dexa:0.0932318235523,ijict:0.0899558408067,iat:0.0856406177036,icwsm:0.08544433505,sigkdd:0.0822851826095,tgis:0.078538630457,dasfaa:0.0698144963515,incdm:0.064028539883,wkdd:0.0600084848237,sadm:0.0581280639604,vldb:0.0552301379804,jecr:0.0536504390839,ijdmmm:0.0507676503328,minenet:0.048083049993,pkdd:0.0463841797056,fimi:0.0445525876204,inffus:0.0438608293753,tkde:0.0436076347583,casdmkm:0.0433819155741,itpro:0.0411183073976,icdm:0.0404457694809,dolap:0.0396167867935,dq:0.0390700551733,isjgp:0.0377432039402,ausdm:0.0314650775491,mldm:0.0311054276057,tsdm:0.0281513397687,biodatamining:0.0266334832818,mlg:0.0264742245828,cidm:0.0254192167785,aisadm:0.0226135422424,ida:0.0204242055853,jaif:0.0146078318054,dmdw:0.0134090618797,classification:0.0125263105043,dw:0.0120092848967,kdid:0.0112899855606,trs:0.0102648694058,edm:0.00996954961914,dis:0.00899076436506,cinq:0.00893179167691,csda:0.00806360131604,jkm:0.00795068414275,ijdmb:0.00777818128763,kelsi:0.0060757143414,grc:0.00596156540982,dawak:0.00471678910217,asunam:0.00464118142465,ipl:0.00317379906739,dmkd:0.00258291558325,ijicte:0.00186035476642,ijkm:0.00113617751352,datamine:0.0,pakdd:0.0,tkdd:0.0,ideal:0.0,dmin:0.0,sdm:0.0,dmkdttt:0.0
Josiane Xavier Parreira-->www:0.646471658534,cikm:0.61916308972,widm:0.537803958341,dasfaa:0.402945353666,asunam:0.371661511399,icwsm:0.350655428801,dexa:0.302857545711,vldb:0.299560023624,oir:0.279524641256,mlg:0.240552780947,tkde:0.222541097507,riao:0.208130289135,dw:0.204959607193,kais:0.204955140435,ipl:0.182820595387,kdd:0.143780174649,iat:0.130030633301,minenet:0.12403895743,dmo:0.111983065972,ijbidm:0.102273747643,dolap:0.100307700335,adma:0.0965602575645,ijkedm:0.0911609280449,tkdd:0.0907090140919,incdm:0.0800126351363,webmine:0.0676034597129,icetet:0.0653381743917,aisadm:0.0648683373331,dawak:0.0624389174199,cinq:0.0587556548997,icdm:0.057425421385,fimi:0.049923677415,jecr:0.0489795598764,sdm:0.0442932406015,sigkdd:0.0420804329789,mldm:0.0355494164666,datamine:0.0334918113067,jaif:0.0320013353163,vdmb:0.0310977858298,ausdm:0.0310338964652,edm:0.0304239397737,pkdd:0.0285823207736,sadm:0.0230312063824,pakdd:0.0229934550556,ijdmb:0.0216399967663,casdmkm:0.0212145429952,kelsi:0.0200229450268,ijict:0.0197203729272,dis:0.0191545532645,dmkd:0.0189084164632,dmdw:0.0157223388666,jkm:0.0105386885875,trs:0.00950632209007,itpro:0.0,csda:0.0,ijkm:0.0,isjgp:0.0,biodatamining:0.0,classification:0.0,ideal:0.0,ijicte:0.0,dq:0.0,tgis:0.0,admi:0.0,wkdd:0.0,tsdm:0.0,inffus:0.0,dmin:0.0,cidm:0.0,dmkdttt:0.0,grc:0.0,kdid:0.0,ijdmmm:0.0,ida:0.0
Bing Tian Dai-->asunam:0.727713691403,icwsm:0.675515553812,www:0.340829911177,kdd:0.210708438442,tkdd:0.203043753836,widm:0.181462038017,aisadm:0.175274302158,icdm:0.175145334715,adma:0.153970324292,fimi:0.152970873655,cikm:0.152399132332,webmine:0.151332229666,mlg:0.150003052363,iat:0.147521304165,sigkdd:0.142351981421,dmin:0.123292365241,kais:0.121308931919,ijdmmm:0.120391088745,pakdd:0.119394875328,ausdm:0.117012112928,ijbidm:0.107966221566,datamine:0.0987624868054,sdm:0.0984941221579,cinq:0.0938527620869,oir:0.0933463161739,ijkedm:0.0835046533408,tgis:0.0792713114803,pkdd:0.0780023511204,edm:0.0755599170559,icetet:0.0704340985253,dasfaa:0.068162451428,kdid:0.0654528640356,vdmb:0.0606723784539,dawak:0.0604931629991,minenet:0.0543979365554,ijict:0.0539486504309,cidm:0.0523691730225,biodatamining:0.0492515545495,kelsi:0.0484426638195,dmkd:0.0439028231958,jaif:0.0395620926371,ida:0.0393252554145,isjgp:0.0389059763831,csda:0.0379379060534,jkm:0.0373986017829,dis:0.0371220298547,admi:0.0303347836074,sadm:0.0300155878303,tsdm:0.0278837620417,dw:0.0275656492315,ipl:0.0231014398096,itpro:0.0224074180674,wkdd:0.0176771201456,mldm:0.0171105721416,tkde:0.0169666159067,ijdmb:0.0162739907624,ijkm:0.0157380112472,dmo:0.0154251791958,grc:0.0143013318614,incdm:0.0119970015683,dmkdttt:0.0107965706363,dexa:0.0105977671071,inffus:0.0102175768719,casdmkm:0.0100646852042,jecr:0.00978952021209,dmdw:0.00662332245087,dolap:0.0054423600901,ijicte:0.00430901693866,vldb:0.00288767294405,classification:0.0,ideal:0.0,dq:0.0,riao:0.0,trs:0.0
Petko Bogdanov-->asunam:0.889890236149,icwsm:0.801837493326,www:0.368045674548,kdd:0.252992257526,tkdd:0.221607163676,mlg:0.214714439511,cikm:0.198377201461,icdm:0.196622234299,webmine:0.17362029127,iat:0.167895002787,adma:0.162102610278,aisadm:0.148957968743,pakdd:0.142077018034,widm:0.141984802545,pkdd:0.133166704504,sdm:0.122101660934,sigkdd:0.12104089025,kais:0.119437178742,dmkdttt:0.112065047308,ausdm:0.105071882583,datamine:0.10469174349,edm:0.0937552312762,mldm:0.0909685274823,ida:0.0893298650609,dis:0.0870691582282,cidm:0.0850721931645,ijbidm:0.0834812499354,ipl:0.0829823928935,dasfaa:0.0715565981569,minenet:0.0680120046616,jkm:0.0652512635339,oir:0.0651671599295,ijdmmm:0.0631878946899,ideal:0.05444139621,dmin:0.0532795242549,cinq:0.0524624096128,dawak:0.050633983773,tgis:0.0504424616198,kelsi:0.0497150029645,incdm:0.0446822232681,icetet:0.0414181318871,jaif:0.0390511924088,wkdd:0.0388901397824,ijict:0.0382228408209,ijkm:0.0352647599205,itpro:0.0345789779185,dmkd:0.0322708576287,fimi:0.0296934096597,tkde:0.0292282010189,kdid:0.0277232124349,biodatamining:0.0248142830224,isjgp:0.0231449570631,ijdmb:0.0220771483326,dw:0.0202867853101,casdmkm:0.0200017474133,tsdm:0.020000549245,dolap:0.0194316706837,classification:0.018608259657,trs:0.0165866292479,grc:0.0130829721172,dq:0.0121104959959,admi:0.0114252626241,vdmb:0.0113988447442,dmo:0.0111415929544,inffus:0.0108994475538,ijkedm:0.0104110133171,ijicte:0.00954315737426,sadm:0.00728097895788,dmdw:0.00616418624349,dexa:0.0051228379405,riao:0.00211430736164,jecr:0.00211199456336,vldb:0.00176995156205,csda:0.0
Daniel P. Miranker-->dasfaa:0.311675775983,ijict:0.303262852881,vldb:0.299868471426,dexa:0.293279043987,tkde:0.211898241812,widm:0.18158389976,iat:0.167391956712,www:0.166901766751,cikm:0.154943717943,jaif:0.153318814461,trs:0.14453594554,icetet:0.140705196629,dw:0.136463032603,dawak:0.133450898956,cidm:0.130579380763,inffus:0.123443424432,dolap:0.122032055614,riao:0.118208867104,kais:0.117181800836,isjgp:0.114524727197,csda:0.112505586461,webmine:0.101784884601,dmin:0.100688136153,mlg:0.0973625487945,grc:0.095186357022,ijbidm:0.0941631994214,cinq:0.0901394437153,ida:0.08929024919,edm:0.0878536384204,dmkdttt:0.0866784546221,ausdm:0.0829753668042,wkdd:0.0824768692922,pakdd:0.0823719243628,dmdw:0.0808708264671,dis:0.0750613173166,ijkm:0.0748700169056,adma:0.074729877559,mldm:0.0722375132324,minenet:0.0721985967141,tsdm:0.067547156243,pkdd:0.065866593451,dmkd:0.0637518748315,biodatamining:0.0612347274626,incdm:0.0580940744068,dq:0.0550194241945,ijdmmm:0.0521997508926,classification:0.0518710525428,oir:0.0502009603031,itpro:0.0491598346448,fimi:0.0477731273391,ijdmb:0.0476692217653,ideal:0.0463902114282,dmo:0.0462405637806,tgis:0.0453352193156,ijicte:0.0427070183764,kdid:0.0408587993305,icdm:0.0401533033405,aisadm:0.0390574219476,kelsi:0.037682141306,kdd:0.035060367462,vdmb:0.0334717180186,ijkedm:0.0334050708619,casdmkm:0.0326171206503,datamine:0.032498239197,jecr:0.0316216353405,sadm:0.025309197198,icwsm:0.0245715576234,ipl:0.0235345375757,jkm:0.0224104447799,sdm:0.0160602837256,sigkdd:0.0150795531525,admi:0.0126234052233,tkdd:0.005277624484,asunam:0.0
Alessandro Micarelli-->edm:0.347921954021,minenet:0.301169141311,biodatamining:0.249894558858,incdm:0.192278244107,icetet:0.167699695009,ijdmb:0.163986738137,icwsm:0.160473815012,jaif:0.156444421799,wkdd:0.153638526567,mldm:0.150464863463,inffus:0.13918331516,ijdmmm:0.137122215701,itpro:0.129327092475,isjgp:0.127757651695,vdmb:0.125493709409,ideal:0.125212711164,ida:0.121775333554,dmin:0.112777915462,adma:0.109404017082,tkdd:0.103377404018,dmkdttt:0.102345103685,tgis:0.100615090946,kelsi:0.0969699207939,tsdm:0.0967126865438,icdm:0.0934096462145,cidm:0.0897689009971,ausdm:0.0875014724117,sadm:0.080285733474,ijicte:0.0798489782036,kais:0.0763772914102,pakdd:0.0751861503667,ijict:0.0724666868116,sdm:0.0706941286177,kdd:0.0704871553364,oir:0.0703279996957,widm:0.0697691990845,www:0.0679395155629,casdmkm:0.0632257143016,sigkdd:0.0576453541675,asunam:0.0565170248666,cikm:0.0533753065416,dis:0.0505772888697,datamine:0.037408779671,iat:0.0360501620938,aisadm:0.0349557781765,ijkedm:0.0348380813072,fimi:0.0325984896105,trs:0.0307746950876,dolap:0.0262902625645,pkdd:0.0231094287749,kdid:0.022363534803,tkde:0.0202447505007,dmdw:0.0195106385376,dawak:0.0188965025261,ijkm:0.0154443826378,dmkd:0.0126508669498,grc:0.0102187809187,csda:0.00916263722242,jkm:0.00913704055125,webmine:0.0,dexa:0.0,ipl:0.0,ijbidm:0.0,dw:0.0,dasfaa:0.0,classification:0.0,dq:0.0,riao:0.0,admi:0.0,vldb:0.0,cinq:0.0,jecr:0.0,mlg:0.0,dmo:0.0
Licheng Jiao-->pkdd:0.708808043759,mldm:0.65247860045,adma:0.613336501897,sdm:0.599521902951,icdm:0.594177384676,tkdd:0.5770675076,ideal:0.517145187197,pakdd:0.44150374448,cidm:0.438528717946,kdd:0.437498882345,kais:0.426400243015,mlg:0.416340487916,ida:0.38763181538,datamine:0.303036400115,ijdmmm:0.29530676441,dis:0.290494247859,cikm:0.28269175745,wkdd:0.281509883455,sadm:0.277783466712,incdm:0.277044301862,dmin:0.240098239617,dmo:0.235973203965,ijdmb:0.234272855382,ijict:0.19934511546,inffus:0.193106648206,iat:0.191331204727,aisadm:0.182939017244,edm:0.180902932009,grc:0.180827495477,jaif:0.163955035702,icetet:0.163438549768,ijbidm:0.15533657334,minenet:0.142662762752,tkde:0.141424787022,dw:0.116482263329,dmkdttt:0.110030311405,sigkdd:0.0973528895319,riao:0.0964686417944,dmdw:0.0915424972778,dexa:0.0867180836544,trs:0.0862848397736,casdmkm:0.0816476943057,dolap:0.0738838717983,classification:0.0705652303019,ijkedm:0.0569814894646,admi:0.054294677964,tsdm:0.04550188768,tgis:0.0447465453041,vldb:0.0402957702589,widm:0.0317810516883,dasfaa:0.0315203636751,ausdm:0.0300313213727,biodatamining:0.0274848175257,kdid:0.0268952728112,ijkm:0.0258069354548,jecr:0.025111870656,dawak:0.0238932628665,ipl:0.021796331825,isjgp:0.0205453561858,jkm:0.0203739706878,webmine:0.0203032266132,csda:0.0180917040305,kelsi:0.0157808217011,asunam:0.0147427991113,oir:0.0131444731049,itpro:0.00994980919936,vdmb:0.00981473558566,fimi:0.00961834113255,dmkd:0.00897358153225,www:0.00556730029863,cinq:0.00458568050989,ijicte:0.00235042290459,icwsm:0.00178519547616,dq:0.0
Evimaria Terzi-->asunam:0.601616128339,icwsm:0.579570441654,tkde:0.499233096454,dasfaa:0.479706219781,cikm:0.432059382414,widm:0.395781986465,kais:0.394815094336,vldb:0.392851322709,dmkd:0.390496056651,kdd:0.389020222979,tkdd:0.378023271343,dawak:0.374137385278,www:0.363421611026,tsdm:0.357626891986,dexa:0.35512684812,kdid:0.344541396423,ipl:0.316121546527,dolap:0.30293711689,pakdd:0.294639837122,sdm:0.288601217419,datamine:0.284737269942,cinq:0.278775971466,icdm:0.271529027197,sigkdd:0.261116414175,pkdd:0.239359956291,mlg:0.234735447372,minenet:0.21954345882,classification:0.20691315083,sadm:0.200062441067,adma:0.197857202137,ausdm:0.16238459091,ijdmmm:0.153696930137,admi:0.147386100048,dmin:0.145271537515,ijbidm:0.140458428205,aisadm:0.140289175123,dw:0.132671683254,dis:0.13008701494,dmo:0.12915987837,iat:0.126738501109,mldm:0.119345393196,webmine:0.113086568758,vdmb:0.110705439633,fimi:0.11066203538,cidm:0.108135020721,incdm:0.105907193274,dmkdttt:0.103512459847,casdmkm:0.103491567047,ida:0.103227193414,ideal:0.100333768089,icetet:0.0900423265367,jaif:0.0893221079012,edm:0.0884231156326,riao:0.0868532979864,itpro:0.0830178315455,ijict:0.0758720995145,kelsi:0.0693901043614,isjgp:0.0667758149689,jkm:0.0588369249076,oir:0.0582986623305,dmdw:0.0564360875749,biodatamining:0.0563609154829,tgis:0.0534799007018,ijkedm:0.0457889675234,csda:0.0457600729539,ijkm:0.0445346806251,grc:0.0360153604204,ijicte:0.0254262781115,ijdmb:0.0252000980039,trs:0.0245324600411,wkdd:0.0216414823,jecr:0.0188210160725,dq:0.0139685574179,inffus:0.0132455661491
